Subject,Channel,Bs,SNR-Diff,PSNR-Diff,RMSE,Corr,MI,BPPE_Delta,MSC_Delta,BPPE_Theta,MSC_Theta,BPPE_Alpha,MSC_Alpha,BPPE_Beta,MSC_Beta,BPPE_Gamma,MSC_Gamma,EvalMode,N_Trials
sub-1,C3,4,1.8432005321586848,-1.4851193984223032,3.918193324354453e-06,0.8497773761432311,0.9188857314899136,0.0769193620932103,0.9352284637882043,0.0239640566257778,0.4957760308662329,0.0615583711043858,0.4318675856491709,0.0122873522362263,0.6087170036531668,0.0516123998508288,0.7976824395643208,real-erp,160
sub-1,C3,6,1.6097216097572282,-1.2673085162798796,3.770170301549764e-06,0.8619008230512919,0.9869603399278736,0.0700335799962084,0.9423361327317528,0.0229814871643705,0.5247493151960341,0.0553451454002926,0.4723257397197883,0.0124701039003246,0.6447038342326996,0.0501400256606111,0.8107754873354358,real-erp,160
sub-1,C3,8,1.6467213248403638,-1.145727786195792,3.66167862897042e-06,0.8704975481715066,1.0274327141205,0.0673075697611192,0.9444819743464066,0.021391743379443,0.5716581393397644,0.0485935840593538,0.4910796383134624,0.0081169724297691,0.671367570901339,0.0482227015109776,0.821148412779763,real-erp,160
sub-1,C3,10,1.6133241520440116,-1.0243821367911692,3.56416023176505e-06,0.8779206052399693,1.0639257643532791,0.0656378428767677,0.9517582646940108,0.021512237101543,0.5911997882073392,0.0470216574185985,0.5064739465908025,0.0066022130896394,0.6933647669556402,0.0467306356493515,0.8297387071266453,real-erp,160
sub-1,C3,12,1.4105784416222065,-0.9950384207694344,3.560599473357559e-06,0.8780820982758407,1.0754205372933514,0.0644830467012577,0.9510553704419484,0.0199437839470393,0.5929362787155105,0.0474178665341752,0.5037443396229377,0.0093260617279227,0.6914013274813559,0.0463350258420446,0.8349056646362463,real-erp,160
sub-1,C3,14,1.3302482261378028,-1.0614873625587142,3.4808472118212828e-06,0.8837913208204088,1.107592528922278,0.0589355283367403,0.9544627377421574,0.0207302193128641,0.6055764925341888,0.042796748018144,0.5357023083637671,0.0095881329748069,0.7042265250784885,0.0464571326062673,0.8411109536040098,real-erp,160
sub-1,C3,16,1.3998234045729523,-1.0203283219587953,3.405722173609001e-06,0.8893157134406949,1.1290681217059304,0.0598661989847805,0.9544394756149897,0.0207078758932871,0.6210487531087602,0.0410732777084091,0.5498284544348311,0.0061461816255481,0.7170791096367932,0.0456469787952066,0.8441162602209328,real-erp,160
sub-1,C3,18,1.3591315252916338,-0.9555468673952277,3.4020758272659604e-06,0.8894278685237622,1.144231796232373,0.0566190351124208,0.9557017541690548,0.0216273663908278,0.6217168779898947,0.0391721564574651,0.551943501727775,0.0071246601504377,0.7208363017151085,0.0461989051962212,0.8465605109173048,real-erp,160
sub-1,C4,4,1.8390242246962991,-1.5081033285232888,5.153606517614736e-06,0.8717281730332543,0.913770817023852,0.0700212988669098,0.9349954284651324,0.0185932440562948,0.4988238660815768,0.0091995054402975,0.4141649882279211,0.0010424339162719,0.6591515916463587,0.0988564822797741,0.8161181798350932,real-erp,160
sub-1,C4,6,1.7646201816106508,-1.4373124692487984,5.000385769095866e-06,0.8800045056167909,0.9653123518827053,0.0656745851467819,0.9399673800037932,0.0183344375200635,0.5252012768050374,0.0169512044548298,0.4495265738714784,0.0016712808833408,0.6910054218715757,0.0992889462383342,0.825630216153891,real-erp,160
sub-1,C4,8,1.9886868403324407,-1.4096238198038753,4.8980962938314464e-06,0.8853211739783993,0.9969912389108034,0.0627410709479575,0.9409667731362222,0.0176826822254779,0.5513858151287377,0.0140924872744893,0.4678759308112236,0.0012551172674294,0.7125659039461846,0.0957713577153542,0.8321780225764425,real-erp,160
sub-1,C4,10,1.6098156296536246,-1.0991225881980942,4.751911976938792e-06,0.8925450641829684,1.037693011433566,0.0578021780622351,0.9463200484182438,0.0153938656455423,0.5889556180695413,0.0195293740840814,0.4936396457486596,0.0008044204207969,0.7304112571872303,0.0935298382126558,0.8445971977196264,real-erp,160
