Subject,Channel,Method,SNR-Diff,PSNR-Diff,RMSE,Corr,MI,BPPE_Delta,MSC_Delta,BPPE_Theta,MSC_Theta,BPPE_Alpha,MSC_Alpha,BPPE_Beta,MSC_Beta,BPPE_Gamma,MSC_Gamma,EvalMode,N_Trials
sub-1,C3,ASR_offline_13,2.4746893270985595,-1.334720760667404,5.074604868448021e-06,0.735206057176605,0.6557009395987751,0.0378018362501053,0.7469916294225697,0.0166703420853032,0.8762600865662257,0.0694356579664027,0.9576063486165326,0.0350232481576773,0.693020892688666,0.0888845881441339,0.4818427126081032,real-erp,160.0
sub-1,C4,ASR_offline_13,2.744802088325466,-1.9777375312106849,8.214291221619327e-06,0.6197961888758525,0.424976933956516,0.0717285774288846,0.6606043951888774,0.0293792263612527,0.7877504590416422,0.0899311757883569,0.9003009099022468,0.033187593298131,0.4974207927675798,0.1578513862803632,0.2989114536962396,real-erp,160.0
sub-1,C5,ASR_offline_13,3.078575039208914,-2.736609568171252,1.0994452541828186e-05,0.6336141266259516,0.5586598555381037,0.0811326788580824,0.5959280786002263,0.0147055898779047,0.7622873139430846,0.0374499964934111,0.923536949479083,0.0204639858069935,0.7143329446695077,0.008513106679773,0.6339299322794345,real-erp,160.0
sub-1,C6,ASR_offline_13,0.5887221851437836,-1.4208402583529711,1.321058389008555e-05,0.5591503879382067,0.3461365436423904,0.0653902506736982,0.3975728949772826,0.0220022348533623,0.5045999286399112,0.0294265327586198,0.8014457263681132,0.0088056601325941,0.5371588638918229,0.1080133581530864,0.4457862653305801,real-erp,160.0
sub-1,CPz,ASR_offline_13,-82.98684764243558,-1.0088121459695252,4.606598666570323e-06,0.7976302671010636,0.902608020808125,0.1265933591701865,0.7154461277534859,0.0231142182010284,0.9186734597590024,0.1471367198039728,0.9839423647451706,0.0038146787568001,0.7207060995417649,0.047472257591615,0.3968111419369443,real-erp,160.0
sub-1,Cz,ASR_offline_13,1.9616592057372435,-1.5394994700996296,3.7478676276581824e-06,0.8391436564685204,0.9974264036301094,0.0036654677926863,0.8705644115663203,0.0189388898582051,0.9522086667323,0.0803564057677396,0.9829512962017803,0.022267369346934,0.7281852372225261,0.0806933940716972,0.4442735479386858,real-erp,160.0
sub-1,F3,ASR_offline_13,1.511865896761286,-1.0046833855424215,7.879957105035578e-06,0.7979095163111575,0.8023347424198541,0.0232425914482262,0.6941542063619689,0.0159321305875127,0.8240710803464399,0.0626122046431643,0.9512567495194026,0.0145941318892139,0.8029458561857064,0.0407076118932369,0.7093208361950991,real-erp,160.0
sub-1,F4,ASR_offline_13,4.288534474452064,-3.3581267889525,2.093051844138849e-05,0.5860535390595558,0.5170606930881004,0.1363923385595005,0.5435801312137071,0.0227863195415519,0.5707182688845593,0.0722884408213187,0.8089922941397676,0.0525711006964027,0.4387978764150506,0.1788959982259683,0.3355718750006328,real-erp,160.0
sub-1,F7,ASR_offline_13,-0.3464086939665414,0.4179664292038918,1.7912316311591683e-05,0.6337599176661876,0.4626009383489414,0.0033569658852901,0.4007491352555075,0.02558785756319,0.5009319232595819,0.0561359721277156,0.8239409143260377,0.0262795837012721,0.5334488569645485,0.0588012118749237,0.494118525480472,real-erp,160.0
sub-1,F8,ASR_offline_13,1.3921707912735073,-2.280259312816039,4.0860131730553344e-05,0.6254686269176246,0.7131696263563971,0.0599125826173312,0.4529179516800092,0.0086887603915089,0.4534973028542534,0.0144631436495354,0.783385964591254,0.0122056704025828,0.5793863818577758,0.0952701570609585,0.4893277743965235,real-erp,160.0
