Subject,Channel,Bs,SNR-Diff,PSNR-Diff,RMSE,Corr,MI,BPPE_Delta,MSC_Delta,BPPE_Theta,MSC_Theta,BPPE_Alpha,MSC_Alpha,BPPE_Beta,MSC_Beta,BPPE_Gamma,MSC_Gamma,EvalMode,N_Trials
sub-1,FP1,1,2.008387265635598,-2.069124371262088,1.1476638444630188e-05,0.9274889806596612,1.2579017143273563,0.0731850385072677,0.886153960045646,0.0112296683145442,0.2433744592510816,0.0124986264039634,0.3620030480764343,0.0290394074779188,0.5699634870573209,0.0428766729399296,0.7021214993760492,real-erp,160
sub-1,FP1,2,1.467202921354973,-1.680661673979738,1.0502995383237249e-05,0.9397134309987178,1.3960375223513066,0.0601463982077985,0.9015909342147644,0.0097914168306609,0.281682675578872,0.0091595876277761,0.4385335185020929,0.023787716215717,0.6464745118932186,0.0369905111949664,0.7557638007730005,real-erp,160
sub-1,FP1,4,1.3225849553500773,-1.2128106535576642,9.69468335961487e-06,0.9488680332356352,1.5221519146932705,0.0485282980829023,0.9168299528211696,0.0087138483924616,0.3417676162304179,0.0054807417175418,0.4997047687748012,0.0192093840735909,0.697727800233355,0.0325520206842312,0.7898076085763617,real-erp,160
sub-1,FP1,8,1.395855285781309,-1.1289547754300608,9.070523616153228e-06,0.9554568118079132,1.620751936391705,0.0437300167693582,0.9247853272838792,0.0078835669254964,0.4009028381231184,0.0039539378966657,0.5784832426036399,0.0173478263578101,0.7358114243426674,0.0303118194403788,0.812355099477194,real-erp,160
sub-1,FP1,16,1.264484765755839,-1.253992189820778,8.456708492079794e-06,0.9614373978873766,1.7123934762071895,0.0384533747646644,0.9331072515858482,0.0069806404161016,0.4530972070731234,0.0026089178724314,0.621523594236879,0.0149315854886258,0.7768189465340375,0.0278935118197087,0.8359621573036818,real-erp,160
sub-1,FP1,32,0.917183895587076,-0.8933075969720221,7.774648721825099e-06,0.9675413124048162,1.79455981344482,0.0315399708509874,0.939305919899322,0.0059637907834646,0.4810079734774282,0.0002645945140134,0.679396372719672,0.0134092506313106,0.8056560505494744,0.0243591055171548,0.8694654238085888,real-erp,160
sub-1,FP1,64,0.8660171707418005,-0.9165285561412544,7.119641684962173e-06,0.9728984530049511,1.8803040222326943,0.0259214668805821,0.9440200056850496,0.0047013369070538,0.5145382285439254,0.0025544043539144,0.7226166391975425,0.0121563917319821,0.8390277872860298,0.0210208164095683,0.8994373927959959,real-erp,160
sub-1,F3,1,2.443694391540877,-1.7326997619278568,6.843102568380119e-06,0.8519496633490977,0.9201335066724364,0.1502708475605039,0.910453149608087,0.0127014083294075,0.3654491490018703,0.086331546188531,0.3758115408184091,0.0213150818206007,0.532497718157974,0.0553256278807795,0.7174150762246079,real-erp,160
sub-1,F3,2,1.8127582849118455,-1.5622777123216047,6.231843301811453e-06,0.8792113132798602,1.0791583017041486,0.1236921964506714,0.9299556896341798,0.0130637925214923,0.4550620347775452,0.0755310623707662,0.4483238710620149,0.0148847178041882,0.6139086592889753,0.0463402087972092,0.77081885323242,real-erp,160
sub-1,F3,4,1.298281159831994,-0.9498056134316002,5.754281065676374e-06,0.8978729918191688,1.2258889707028926,0.0954186894669398,0.942976047379976,0.0122984241932606,0.5478881821800561,0.0565534827962995,0.5058692074626455,0.0096683437491928,0.6789585285587795,0.0414952871147078,0.8080581704097713,real-erp,160
sub-1,F3,8,1.4688262327598969,-1.08650990286103,5.376000651397184e-06,0.911708060817482,1.3350670782287526,0.0858712749926488,0.9531136467460452,0.0103673180761014,0.6096660329166639,0.0511432976905935,0.5586243702782908,0.0074234552652291,0.7231982284600224,0.0376718401129275,0.8334381127866253,real-erp,160
